Page ID,Page name,Disclaimer,Amount spent (INR)
104800952455774,Shahin Parveen शाहिन परवीन,Shaad Ahmad Kabir,≤100
526222491203445,The Chaupal,the chaupal,≤100
2308874506058535,Kantanu Kundu,Kantanu Kundu,≤100
107844612055062,SURBHI GHAI,Raushan Raj Shrivastava,≤100
1116353905141402,Dr. Shivani Matanhelia,Kanushree Matanhelia,≤100
1104258946304903,Abyssian Beauty,These ads ran without a disclaimer,≤100
1325597657464869,VAISHNAV INFRATECH,Sukhneet Singh,≤100
190241148366850,Margika,These ads ran without a disclaimer,≤100
791996340811292,Dr Madhuri Borse,Vipul Jayantilal Bafna,≤100
108716531641352,Renewable Energy Expo,Water Today Pvt Ltd,≤100
1397767487148044,Jaidatta Kshirsagar,Jaydatta Sonajirao Kshirsagar,≤100
1372667142873942,S-Team Services,S-Team Services,≤100
1934399020113515,Neemaa Bhagat,Lakshay,≤100
146702709146110,Ashu Singh Surpura,Ankit Kumawat,≤100
218519749005654,Dr. Rakesh Singh Jadon,Rakesh Singh Jadon,≤100
785060428216759,Jagmohan Mehlawat,Mahender Pratap,≤100
1675237799375590,Chandra Mohan Patowary,Jitendra Newatia,≤100
797288287125932,Bhuman Bhatt,Krutarth Maulin Dave,≤100
104918521224442,Deepak Vohra,Shaad Ahmad Kabir,≤100
475898282465005,Dr K Laxman,Vijay Kumar Tapadia,≤100
106126212227764,P Mudar Loan,Mukeshbhai Samatbhai Rathod,≤100
347754176313316,Shagufta Chaudhary Zubair,Shaad Ahmad Kabir,≤100
1435320706742345,Pawan Pandey,Ankaj Tiwari,≤100
447540119348781,Gali Somasekhara Reddy,Venkatesh Hari Krishna,≤100
641878655869369,Pralhad Joshi,Subham Singh,≤100
105488688708623,Sprinters Games,These ads ran without a disclaimer,≤100
103223545176933,Forest Division Durg,Vivek Banchhor,≤100
198090980676319,Manish Sinha,Ashutosh Kumar,≤100
100659508945408,Raman & Weil Science,These ads ran without a disclaimer,≤100
551959658561415,PK Fan Club,Team PK,≤100
102160134578645,Kapil Dev Garg,Kapil Dev,≤100
295405070641302,Balraj Kundu,Pankaj Sharma,≤100
105124865726721,Medapati Prakash Reddy,Medapati Prakash Reddy,≤100
545854542516790,Sama Ranga Reddy,Durga Prasad Krishnamaraju,≤100
462642084085070,GUNVANTRAY PARMAR,Gunvantray Parmar,≤100
103422065795457,Virendrasinh Vaghela - Ajitsinh Vasan,Navnit,≤100
1327351450720146,Pradhan Mantri Bhartiya Janaushadhi Pariyojana,Pharmaceuticals & Medical Devices Bureau of India,≤100
1445699355734614,Dr. Rameshwar Dusad,Rameshwar Lal Dusad,≤100
162115051234970,Dharmendra Singh Lodhi mla,Dharmendra Singh Lodhi,≤100
108437191907485,Replanet,Prabhindar Singh Chopra,≤100
103498668364101,Sudesh Wati,Mahender Pratap,≤100
100160502759995,Narendra Chauhan- नुदल भैया,Prakhar Kashyap Singh,≤100
107265272005040,Girdhari Lal Indoria,Surendra Sharma,≤100
695738973874352,Dr. Sumer Singh Solanki,Sumer Singh Solanki,≤100
105962238130708,AAP Dharmendra Patel,Patel Dharmendra,≤100
452281888499699,Hasib Ul Hasan Councillor,Hasib Ul Hasan,≤100
100792188524795,Himani Abhishek Jain,Kuldeep,≤100
213839668641820,Dr. Anil Jain,Deepak Pal,≤100
105222094270542,Dalbir Singh,Shankar Prasad Thakur,≤100
108156992053327,BYBIndia- India's Best Video Marketing Company,Sunita Singh,≤100
589260874913871,Vahak - Online Transport Market & Directory,These ads ran without a disclaimer,≤100
720708441327232,Avon Cycles,These ads ran without a disclaimer,≤100
