Page ID,Page name,Disclaimer,Amount spent (ILS)
105903455474742,המרכז ליהדות ומדינה  - Judaism and state policy center  - JSPC,המרכז ליהדות ומדינה  - Judaism and state policy center  - JSPC,≤100
284842737603,Yesh Din  ييش دين  יש דין,יש דין ארגון מתנדבים לזכויות אדם,≤100
536794249813012,תומר גלאם - Tomer Glam,עיריית אשקלון,≤100
1510157982620509,הלן גלבר - Helen Gelber,הלן גלבר - Helen Gelber,≤100
142126569140353,"אלו""ט",These ads ran without a disclaimer,≤100
116877711723730,ממרי,ממרי,≤100
101928359462162,,These ads ran without a disclaimer,≤100
111276485363292,צחי אייזיק - סיעת כחול לבן ביקנעם,כחול לבן ביקנעם,≤100
610994792373739,ירון לוי - Yaron Levi,ירון לוי - Yaron Levi,≤100
107501611487636,מור ושות'- משרד עורכי דין ונוטריון,These ads ran without a disclaimer,≤100
100262749814598,קובי אלירז - לראשות מועצת בנימין,קובי אלירז - לראשות מועצת בנימין,≤100
1137441646281466,Nir Meir - ניר מאיר,התנועה הקיבוצית,≤100
101041399718024,Saar Yakolev,Saar Yakolev,≤100
221429664638160,קדמה,קדמה,≤100
655073717925481,קרן ברל כצנלסון,קרן ברל כצנלסון,≤100
102524746200583,רחמים מלול - ראש עיריית רחובות,רחמים מלול,≤100
251040535229741,יאיר צברי - Yair Zabari,יאיר צברי - Yair Zabari,≤100
107058789108097,יאיר מעיין - Yair Maayan,יאיר מעיין,≤100
107225296055988,נמל אשדוד - Ashdod Port,These ads ran without a disclaimer,≤100
219236568818575,גלית שאול - ראשת מועצת עמק חפר,גלית שאול - ראשת מועצת עמק חפר,≤100
129648596702372,גלית אורי - מנהיגה חדשה לגליל העליון.,גלית אורי - מנהיגה חדשה לגליל העליון.,≤100
2036461326389031,Nir A. Cohen,Nir A. Cohen,≤100
554308731366675,محامون من أجل إدارة سليمة - Lawyers for Good Governance,lawyers for good governance,≤100
1073460539346074,אלון שוסטר - Alon Schuster,אלון שוסטר - Alon Schuster,≤100
335399036546914,ישראל כ״ץ - Israel Katz,ישראל כ״ץ - Israel Katz,≤100
367616380398137,גבי קדוש Gaby Kadosh,גבי קדוש Gaby Kadosh,≤100
853851914639445,נגד הקמת שדות תעופה בעמק יזרעאל,נגד הקמת שדות תעופה בעמק יזרעאל,≤100
108115348997001,מידן בר לראשות מועצת עמק חפר,מידן בר,≤100
103438503043348,העוקץ,העוקץ,≤100
108433902545902,Geneva Initiative,יוזמת ז'נבה,≤100
100978407934166,תנועה ישראלית,Israeli Movement,≤100
111912221330671,מי שבעד ירים את היד,מי שבעד ירים את היד,≤100
114213911547235,محمد سالم-Mohammad Salem,محمد سالم-Mohammad Salem,≤100
115256976973278,Nikk.Agency IL UA Новости Израиля - Привет Израиль Что нового?,Nikk.Agency IL UA Новости Израиля - Привет Израиль Что нового?,≤100
104984005680662,משמר הראיסים,משמר הראיסים מאת דוד סוויסה,≤100
310003182800720,עושים חקלאות ישראלית - מועצת הצמחים,עושים חקלאות ישראלית - מועצת הצמחים,≤100
270133532996654,בית פרת - מדרשה ישראלית,בית פרת - מדרשה ישראלית,≤100
109353154135430,E.N. Publishing,These ads ran without a disclaimer,≤100
248788905529463,Детали / новости Израиля,Детали / новости Израиля,≤100
1745766355635658,רב גן ישראלי,These ads ran without a disclaimer,≤100
103069056049581,שלום ישראל אלבז- shalom israel elbaz,יחסי ציבור,≤100
164416690244223,המועצה הציונית בישראל,המועצה הציונית בישראל,≤100
119373658139954,Friedrich-Ebert-Stiftung Israel,Friedrich Ebert Stiftung Israel,≤100
279689895974754,Avi Slama Votre prochain Maire de Netanya,Avi Slama Votre prochain Maire de Netanya,≤100
369655989728696,אסף דעבול - Asaf Daabul,אסף דעבול - Asaf Daabul,≤100
885381241499674,Qualita,Qualita,≤100
101545285387643,Beegreen ביגרין  - קירות ירוקים,Beegreen ביגרין  - קירות ירוקים,≤100
698427173532872,חופות - מבית השגחה פרטית,חופות,≤100
113698688205373,Akram Hasson,These ads ran without a disclaimer,≤100
116796928132577,יחיאל טוהמי לראשות אריאל,יחיאל טוהמי לראשות אריאל,≤100
530146840479296,Rosenbaum Communication - עופר רוזנבאום,Rosenbaum Communication,≤100
133593466685177,העין השביעית,העין השביעית,≤100
454113211616883,מועצה מקומית בית אל - Beit El Municipality,מועצה מקומית בית אל,≤100
457794627605948,Karine Elharrar- קארין אלהרר,יש עתיד,≤100
112878401788032,ערן בן יהודה - Eran Ben Yehuda,ערן בן יהודה - Eran Ben Yehuda,≤100
111604720373428,הפורום הישראלי למשפט וחירות,הפורום הישראלי למשפט וחירות,≤100
