Page ID,Page name,Disclaimer,Amount spent (INR)
107041559005083,bjp_adarsh_dubey_6161,These ads ran without a disclaimer,≤100
190853667631848,Astrologer Mrityunjai Ojha,These ads ran without a disclaimer,≤100
109046802169655,Adv Rahul Nayar Valmiki,Click2Public Technologies OPC Pvt. Ltd.,≤100
112312416958369,Sandeep Hindustani,Brand Recourse Technologies Pvt Ltd,≤100
117318023401080,Sacred Heart Career Academy,These ads ran without a disclaimer,≤100
1607394322824523,Nathuram Sinodiya,Nathuram Sinodiya,≤100
108794624780605,Centre for Global Affairs and Public Policy,Centre for Global Affairs and Public Policy,≤100
110920652003118,Abhay Rajawat,These ads ran without a disclaimer,≤100
106129398288303,IndianreportCard,IndiaGram News,≤100
105276731578334,Surendra chaudhary,These ads ran without a disclaimer,≤100
105515161411695,Pankaj Singla,Pankaj Singla,≤100
141183519817477,Aiyshwarya Manchanahalli Mahadev,Policy Briefcase,≤100
109634868660579,dr_umesh_gautam,These ads ran without a disclaimer,≤100
109058654923540,सब का साथ सब का विकास,सब का साथ सब का विकास,≤100
578878525639991,Telangana Congress,Telangana Congress,≤100
107946518029943,Sheelu Sahu,Sheelu Sahu,≤100
1112413815620203,बच्चा मिश्रा,बच्चा मिश्रा,≤100
107467012347500,rj_.killer_bishnoi,These ads ran without a disclaimer,≤100
338791202812647,Earth Care Awards,Earth Care Awards,≤100
115550873477698,Shyam Mali Bhakari,Shyam Mali Bhakari,≤100
115155494827321,abhishek singh,These ads ran without a disclaimer,≤100
112552897745539,सुभाष चन्द्र गुप्ता सूरतगढ़,सुभाष चन्द्र गुप्ता सूरतगढ़,≤100
935503089847466,Pant Path,Pant Path,≤100
100126792140081,blossomkochhar,These ads ran without a disclaimer,≤100
1631196377103183,Sleepwell Foundation,Sleepwell Foundation,≤100
116964694757438,Jio phone 3 5g price 1499-/online booking,These ads ran without a disclaimer,≤100
383824851643331,Pardeep Gill,Pardeep Gill,≤100
571725919617316,Fully Faltoo,These ads ran without a disclaimer,≤100
104889532431683,Jagdish Verma sangaria,digital computer classes,≤100
101213198719388,गिरिराज सिंह धनधौड़ा,गिरिराज सिंह धनधौड़ा,≤100
106995762752939,Ramesh Chand Khandelwal,Ramesh Chand Khandelwal,≤100
111530207269516,Sudha Bhardwaj,Sudha Bhardwaj,≤100
378362679001615,Manoj Shukla,Manoj Shukla,≤100
327435757385465,Jaisingh Agrawal,Jaisingh Agrawal,≤100
355739144465220,BJP Madhya Pradesh,Bharatiya Janata Party (BJP),≤100
