Page ID,Page name,Disclaimer,Amount spent (SEK)
273402369438867,By Billgren,By Billgren AB,≤100
106369868876618,e-Hälsa + MVTe,Nordic Live Expo AB,≤100
337086006951883,Jessica Polfjärd,Moderaterna,≤100
221023000792,Akademikerförbundet SSR,Akademikerförbundet SSR,≤100
140417992681511,Clowner utan Gränser,Clowner utan Gränser,≤100
2034901333190011,Ricky Karlsson KD,Karlsson Pierre Ricky Willhem,≤100
188821514474911,Preem,Preem AB,≤100
1089666701084947,Timbro förlag,Timbro Förlag,≤100
506388016439723,Andréa Hedin (M),Andrea Hedin,≤100
101320658099429,Renoveringsraseriet,Renoveringsraseriet,≤100
417057608473946,Svenska Djurskyddsföreningen,Svenska djurskyddsföreningen,≤100
113710601984970,Barnfonden,Barnfonden,≤100
160736919403,Företagarförbundet,Företagarförbundet Fria Företagare,≤100
1432591790382295,ByMartinsdotter,By Martinsdotter,≤100
1495636290691848,Vänsterpartiet Stockholms stad,Vänsterpartiet Stockholm stad,≤100
173901972642378,Kristdemokraterna i Huddinge,Kristdemokraterna i Huddinge,≤100
699729213440455,Vänsterpartiet Västra Götaland,Vänsterpartiet Västra Götalandsregionen,≤100
1413778618876526,StreetGäris,STREETGÄRIS,≤100
129664437103456,Medicinska fakulteten vid Lunds universitet,Medicinska fakulteten vid Lunds universitet,≤100
513322965515580,Socialdemokraterna Kumla,Veronica Ulfgren,≤100
637235366608588,studietid,#studietid,≤100
139375052786521,Moderata Ungdomsförbundet,Moderata Ungdomsförbundet,≤100
305176193254009,Svenska Postkodstiftelsen,Svenska Postkodstiftelsen,≤100
368972829945550,AP7 Statens premiepensionsfonder,AP7,≤100
187832004591985,LO-distriktet i Småland och Blekinge,Karin Maria Desideria Wallenthin,≤100
407290589320311,ABF Örebro län,Mikael Runesson,≤100
112156607935497,SPF Varberg,These ads ran without a disclaimer,≤100
106424948513158,Riksorganisationen för fortbildning om Förintelsen,Riksorganisationen för fortbildning för förintelsen,≤100
273254886116655,Motargument,Motargument,≤100
135062563176874,Utrikespolitiska Institutet,Utrikespolitiska Institutet,≤100
113710601984970,Barnfonden,Barnfonden Insamlingsstiftelse,≤100
1522679411362377,Lighthouse - Swedish Maritime RD&I collaboration platform,Lars Nicklason,≤100
127757523931098,Emrahus AB,Emrahus AB,≤100
590736644344351,Svenskt Näringsliv Jönköpings län,Svenskt Näringsliv,≤100
172964230195,Hallandsposten,Hallandsposten,≤100
970101589721702,Josefin Malmqvist,Malmqvist Amanda Josefin Theresia,≤100
498767116802809,Vänsterpartiet Region Stockholm,Vänsterpartiet Region Stockholm,≤100
162466473776556,Klimataktion,Klimataktion,≤100
709317875766999,Judisk Kultur i Sverige,Judisk Kultur i Sverige,≤100
209827375704176,Socialdemokraterna i Kristianstad,Socialdemokraterna Kristianstad,≤100
165737720134388,Bergmark,Björn Stefan Bergmark,≤100
347852331958080,En Företagares Vardag,En Företagares Vardag,≤100
268593563268202,Kristdemokraterna Tyresö,Kennerberg Leif Robert,≤100
150909028299502,Jernkontoret,Jernkontoret,≤100
141018729443,Hallands Nyheter,Hallands Nyheter,≤100
112644953916525,Facklig Vänster,Vänsterpartiet,≤100
347852331958080,En Företagares Vardag,En Företagares Vardag Sverige AB,≤100
538885042915771,Svenska samlarprodukter AB,These ads ran without a disclaimer,≤100
1230018870391467,Medborgerlig Samling Uppsala,Medborgerlig Samling Uppsala Län,≤100
130148200513245,Amazon Watch Sverige,Amazon Watch Sverige,≤100
699733880123060,Tjejjouren i Lund - en transinkluderande jour,Tjejjouren i Lund,≤100
1429601153927630,Villaägarna Luleå,Villaägarna Luleå,≤100
513520638755798,Vänsterpartiet Ystad,Brante Goran,≤100
376804565780243,Vänsterpartiet Södermalm,Vänsterpartiet Södermalm,≤100
103814352620250,Wiadomość dnia,These ads ran without a disclaimer,≤100
108795227704477,ألوان أوروبا Alwan Europe,ألوان أوروبا Alwan Europe,≤100
293099781096968,MATtanken,Landsbygdsnätverkets kansli,≤100
296423575695,Afrikagrupperna,These ads ran without a disclaimer,≤100
108216678020301,CGH & Jobbfrågan,Svensk Jobbdemokrati,≤100
111566022258925,Vänsterpartiet Skåne,Vänsterpartiet Skåne,≤100
111011748401165,Washington Kane,These ads ran without a disclaimer,≤100
1074482232589420,Betongindustri,These ads ran without a disclaimer,≤100
157426134878218,Bodens kommun,Bodens kommun,≤100
102853206050540,Aktualne programy,These ads ran without a disclaimer,≤100
108492218918,IF Metall,IF Metall,≤100
1416393591927234,Semcon,Semcon,≤100
77144867225,Norræna húsið  The Nordic House,These ads ran without a disclaimer,≤100
104759162240054,Star for Life Ukraine,These ads ran without a disclaimer,≤100
187461997935711,Unilever Careers,These ads ran without a disclaimer,≤100
1517088885216557,AIG,These ads ran without a disclaimer,≤100
101623072663937,IOT Solutions World Congress 2023,These ads ran without a disclaimer,≤100
112074345118032,Новости дня,These ads ran without a disclaimer,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
102073931578170,Naazcars,These ads ran without a disclaimer,≤100
1541679192717506,Clarius Mobile Health,These ads ran without a disclaimer,≤100
100390846301002,Мировые новости,These ads ran without a disclaimer,≤100
54779960819,United Nations,United Nations with Facebook Ad Credits,≤100
124650430922882,Oulun yliopisto - University of Oulu,These ads ran without a disclaimer,≤100
100985078790660,World Planting,These ads ran without a disclaimer,≤100
