Page ID,Page name,Disclaimer,Amount spent (ARS)
100854288886307,Zonales,Comunicacion Editorial Grafica Argentina,2132
130929705668,Municipalidad de Córdoba,Municipalidad de Córdoba,2005
111669735076988,Hora Cero,Hora Cero Noticias,2000
335926266503071,7D,7D,1987
90148244993,Patricia Bullrich,Pro Nacional,1964
145806262649419,Fer Miño,Patria de Todos,1844
452525851510103,Nicolás del Caño,Frente de Izquierda,1721
110116998602195,Boletin No-Oficial,Boletín No Oficial,1718
105489649127924,Viedma Consultora,Viedma Consultora,1665
106837380716320,Diario Argentino,Diario Argentino,1536
685877428466477,Sensación Pilar,Pilar quiere saber,1494
107158018902593,Patagonia 24,Patagonia 24,1367
101446999301893,Política Central,politica central,1365
125183747539071,Noticias Argentinas,Noticias Argentinas,1361
314550791947743,InfoBonaerenses,Noticias de mi barrio,1335
184491722081467,Dani Lopez,Daniel Hernan Lopez De Gaetano,1331
546669442064267,Martiniano Molina,Martiniano Molina,1305
420724655175395,Cristian Mayal,Cristian Mayal,1264
427271967380241,Lucas Delfino,Lucas Delfino,1255
111509551806903,El Deportivo Web,El deportivo oficial,1217
1192374014146549,María Emilia Abdelnabe,Maria Emilia Abdelnabe,1194
255709918416546,Joaquín Sánchez Charró,Joaquín Sánchez Charró,1179
215867742129773,Pablo del Valle,Pablo del Valle,1171
378225769015907,Fundación Embajada Abierta,Fundación Embajada Abierta,1128
1951634058482639,Somos Villa Rosa,Informate Pilar,1101
271357293358897,Javier Fernandez,Javier Omar Fernandez,1100
105434454484182,Difusión de Prensa Argentina,Difusión de Prensa Argentina,1065
874088589419687,Sensación Derqui,Pilar quiere saber,1065
1643745862377667,Del Viso me importa,Pilar quiere saber,1050
114299924620455,Andrés Antonietti,Andres Antonietti,1029
103322152538185,La Verdad Noticias,La verdad noticias,1017
541328952579697,Noelia Ruiz,Noelia Ruiz,1003
1469247346700561,Principios Diario,Principios Diario,999
162950707853572,Hola Manuel Alberti,Informate Pilar,955
109566368125684,Pilar 360,Noticias de mi barrio,943
440677362630997,Sebastian Galmarini,Sebastian Galmarini,911
1708420432707615,Sergio Gabriel Iacovino,Sergio Gabriel Iacovino,879
169218796514838,Prensa Darío Golía,Prensa Darío Golía,829
498227194249602,Es la Politica,EslaPolitica!,799
227469003952751,Mario Raúl Negri,Mario Negri,788
434557003334061,Municipalidad del Pilar,Municipalidad del Pilar,767
107796462136638,La República Noticias,La República Noticias,760
111600998225620,Noticias Zero,Noticias Zero,753
108029957561607,Ezequiel Perez Naveiro,Ezequiel Agustin Perez Naveiro,750
857382087671921,Maxi Abad,radicalesorg,738
152807648879496,Lagomarsino de pie,Informate Pilar,698
584430051988610,Inforcosta,Lucas Ezequiel Fernandez,688
432590050494586,Código Plural,Código Plural,682
113328424956836,Prensa Libre,Prensa Libre,678
102534516011045,La Gloria Noticias,La Gloria Noticias,672
1635572133170552,Diario Para Todos Coronel Pringles,Diario Para Todos Coronel Pringles,659
131381938371647,Corta La Bocha Noticias,Corta La Bocha,652
544640985878621,Argentinos Online,Argentinos Online,627
101558075997753,Pato Bullrich y Segundo Cernadas,Fuerza Libertad,624
105493327767840,Newsweek Argentina,Newsweek Argentina,618
1676408809269820,Municipio Bahía Blanca,Municipalidad de Bahía,616
103846469204203,La Ola Noticias,La Ola Noticias,518
1399896206897402,Frente Renovador San Isidro,Frente Renovador San Isidro,502
