Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
450583275090800,אלי כהן - Eli Cohen,אלי כהן - Eli Cohen,118,1
107926607591864,זוּלת - לשוויון וזכויות אדם,זוּלת - לשוויון וזכויות אדם,117,4
109523830757998,דמוקרטtv,דרכנו,115,2
220045128798930,"עו""ד ידידיה בלומהוף - תביעות משרד הביטחון",משרד עורכי דין ידידיה בלומהוף,115,8
104783631865965,תלם,קרן ברל כצנלסון,113,15
295211077200566,מרצ כפר סבא,מרצ כפר סבא,112,2
205544429526773,תג מאיר: אור במקום טרור,תג מאיר: אור במקום טרור,111,3
2024003551147460,החופש לבחור - בראשות איל פביאן,החופש לבחור - בראשות איל פביאן,111,3
767262423350854,פורום הדיור הציבורי,פורום הדיור הציבורי,110,2
102036005190785,Logivote - הפתרון השלם למערכת ניהול קמפיינים ובחירות דיגיטליות,LogiVote,110,2
1066491536711796,ערן דמרי עורך דין תעבורה /פלילי,ערן דמרי עורך דין תעבורה /פלילי,110,3
1384004838583167,רונן פלוט - Ronen Plot,These ads ran without a disclaimer,110,1
106396902115076,فادي عراقي مهنية - ارادة - قدرات,فادي عراقي مهنية - ارادة - قدرات,109,4
1395918227341473,עיריית חדרה,עיריית חדרה,108,1
810904589094226,צביקה ברוט - Tzvika Brot,צביקה ברוט - Tzvika Brot,108,2
399925850154841,מרכז ישיבות ואולפנות בני עקיבא,מרכז ישיבות ואולפנות בני עקיבא,108,19
390531014386170,Шимон Кацнельсон - Единый Ашдод,Шимон Кацнельсон - Единый Ашдод,107,1
160178307760913,מחזקים,מחזקים,106,3
103345646135647,קול ערד,קול ערד,106,1
723141737847411,ראובן לדיאנסקי,ראובן לדיאנסקי,106,1
245499002787929,Ашдод.ру - ashdod.ru,ASHDOD.RU,105,2
104507095974550,"עו""ד שלמה ששון מנסורה לראשות מועצת מעלה יוסף",שלמה ששון מנסורה,103,2
100869341561907,תוצרת הארץ • הביטחון הלאומי שלנו,תוצרת הארץ • הביטחון הלאומי שלנו,101,2
207175656718749,אביהו האן לראשות עיריית חיפה,אביהו האן לראשות עיריית חיפה,≤100,1
105882429103143,ערן פרלמן לראשות העיר הוד השרון,ערן פרלמן,≤100,1
256546887847232,עיריית רמת גן,עיריית רמת גן,≤100,2
117621584537422,"עו""ד ניסן זכריה לראשות העיר חולון","עו""ד ניסן זכריה לראשות העיר חולון",≤100,6
110953105276453,"מרלן שחאדה, משרד עורכי דין","מרלן שחאדה, משרד עורכי דין",≤100,28
321795461283120,גנאדי בורשבסקי,גנאדי בורשבסקי,≤100,1
103459003107598,ארגון העיתונאים והעיתונאיות בישראל,ארגון העיתונאים והעיתונאיות בישראל,≤100,3
106291042155217,الصفحه الرسمية للمرشح عدنان عيسى لرئاسة بلدية كفر قاسم 2023,الصفحه الرسمية للمرشح عدنان عيسى لرئاسة بلدية كفر قاسم 2023,≤100,2
421210797920379,מועצה אזורית בנימין,מועצה אזורית בנימין,≤100,1
219256864871723,Lea Fadida לאה פדידה,Lea Fadida לאה פדידה,≤100,2
119889504408611,שלומי קדוש חבר מועצת העיר קרית ים,שלומי קדוש חבר מועצת העיר קרית ים,≤100,4
102311222889648,תמר קדם סימן טוב,תמר קדם סימן טוב,≤100,2
1323750761115767,Наш Дом Хариш Во Главе с Идит Ентов חריש ביתנו בראשות עידית ינטוב,Avigdor Liberman - אביגדור ליברמן,≤100,2
