Page ID,Page name,Disclaimer,Amount spent (HUF),Number of ads in Library
24960864500,Szeretgom.hu,Szeretgom.hu,417,1
2341539762837341,Vác Város Önkormányzata,Vác Város Önkormányzata,415,1
101477481458593,Kámánné dr. Bari Bernadett,Bari Bernadett,388,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,379,1
101471875984000,nezdvelem,These ads ran without a disclaimer,367,1
103119051048859,Irmalós Bence - Momentum,Momentum Mozgalom,358,1
19746387261,Humane Society International,These ads ran without a disclaimer,357,8
725505594135727,Adventure Escape,These ads ran without a disclaimer,357,1
107931057227686,Vajda Viktória,Viktoria Vajda,354,1
292787761246129,Herczeg Tamás,Fidesz,331,1
440197766088272,Jeszenszki András,MSZP,330,1
107796998410631,Ésik Árpád,Ésik Árpád,328,1
111457848535168,gjarquer,These ads ran without a disclaimer,325,1
2257104034609538,Mirkóczki Zita,Mirkóczki Zita,295,1
204564332928305,National Geographic Magazin Magyarország,These ads ran without a disclaimer,294,8
176958302330273,Minősített Könyvelők Egyesülete,Minősített Könyvelők Egyesülete,290,1
103858172407697,Bordács József,Bordács József,258,1
102384608623743,CreativeSolar,CreativeSolar,250,2
76945222898,Startlap,Central Médiacsoport Zrt.,216,3
230314307098155,Patent Egyesület,These ads ran without a disclaimer,204,1
222935035147780,moszkvater.com,moszkvater.com,154,2
100401808007704,EzaLényeg.hu,EzaLényeg.hu,148,18
164288663615695,ingatlan.com,These ads ran without a disclaimer,≤100,2
124442815810276,Modern Férfipolitikáért Mozgalom,Szujó Flórián Zoltán,≤100,1
104330098359856,Pleva Dániel,Daniel Pleva,≤100,1
111423440209675,Stemler Diána - Momentum,Momentum Mozgalom,≤100,1
1841762536142249,Fidesz Baja és térsége,Fidesz Baja,≤100,1
244669668913278,Ökopolisz Alapítvány,Ökopolisz Alapítvány,≤100,1
102427328220533,Fidesz II. kerület,Fidesz II. kerület,≤100,1
328734170817962,Milda Sabiene - Holistic Coach,These ads ran without a disclaimer,≤100,2
1595121247382392,DK Nyíregyháza,\tDemokratikus Koalíció,≤100,1
1953380668110489,Paróczai Anikó,Momentum Mozgalom,≤100,1
365868270785503,Kovács Rajmund,Kovács Rajmund,≤100,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
1439786569610603,Dr. Fekete Dávid,Fekete Dávid,≤100,1
174495013772,nlc.hu,These ads ran without a disclaimer,≤100,2
101759625567664,kmicatattoo,These ads ran without a disclaimer,≤100,1
320948257943554,Бостонский Кругозор,These ads ran without a disclaimer,≤100,1
423670114403144,Trending in China,These ads ran without a disclaimer,≤100,1
154573638492041,Cannabis Europa,These ads ran without a disclaimer,≤100,1
1770812789867296,PPG People,These ads ran without a disclaimer,≤100,1
439440096133537,Sick Noise,These ads ran without a disclaimer,≤100,1
305608429284,EU Environment,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,1
17043549797,MIT Technology Review,These ads ran without a disclaimer,≤100,3
139664717571,CERGE-EI,These ads ran without a disclaimer,≤100,1
185999151456481,Somatic Experiencing International,These ads ran without a disclaimer,≤100,1
174116812644146,Luxembourg Times,These ads ran without a disclaimer,≤100,1
555755224474277,Josefinas,These ads ran without a disclaimer,≤100,1
