Page ID,Page name,Disclaimer,Amount spent (CAD),Number of ads in Library
166323303332,Partners International (Canada),Partners International Canada,≤100,1
272202456132203,Comité Chômage de Montréal,Comité Chômage de Montréal,≤100,3
111404328067824,Friends of Land Use Planning,Friends of Land Use Planning,≤100,4
118631361198155,Drivepedia Thrills,These ads ran without a disclaimer,≤100,2
101347089679547,Andrea Hazell,Andrea Hazell Campaign,≤100,1
2137434059673092,Jean-François Simard - député de Montmorency à l'Assemblée nationale,Mathieu Demers,≤100,1
85291563763,ICNA Relief Canada,ICNA Relief Canada,≤100,3
12101479244,B'nai Brith Canada,B'nai Brith Canada,≤100,2
171195311682401,ParentzTalk - Activities,These ads ran without a disclaimer,≤100,1
1535437630032439,Apollo Cinema,These ads ran without a disclaimer,≤100,1
765268210509087,Uniprix Alexandre Du Brule,PHARMALEAD,≤100,1
140346279326601,Canadian Constitution Foundation,Canadian Constitution Foundation,≤100,1
270643530314317,Saskatchewan Coalition for Sustainable Development,Saskatchewan Coalition for Sustainable Develeopment,≤100,1
1407072386223177,Uniprix Nicolas B. de la Bruère,PHARMALEAD,≤100,1
110819118982650,MMSB,Idea Factory,≤100,3
221380238051378,Greg Fergus,Greg Fergus,≤100,4
122330701270825,VitalityMD,VitalityMD,≤100,3
1601555680081592,Southern Chiefs' Organization,Southern Chiefs' Organization,≤100,1
228235947732909,L'Atelier d'innovation sociale Mauril-Bélanger Social Innovation Workshop,Atelier d'innovation sociale Mauril-Bélanger,≤100,1
149725101896137,Stepping Stones Crisis Society,Stepping Stones Crisis Society,≤100,9
441171505899037,ByTowne Cinema,These ads ran without a disclaimer,≤100,1
122498320824732,Safe Streets Vancouver,Safe Streets Vancouver,≤100,2
2310539862308811,Establish Media,Establish Media,≤100,1
144739965614660,CIJA,CIJA,≤100,1
116167601505989,Project Pressure,These ads ran without a disclaimer,≤100,1
100649066358638,The SKoop - Inside Saskatchewan Politics,The SKoop - Inside Saskatchewan Politics,≤100,1
21338413843,TD Friends of the Environment Foundation,TD Friends of the Environment Foundation,≤100,2
242109115885979,Canadian Light Source,Canadian Light Source,≤100,4
101436926004250,Councillor Adil Khalqi,Councillor Adil Khalqi,≤100,1
100345752618521,Neighbour Media,neighbour media,≤100,1
182452388854875,Goodman Commercial,Goodman Commercial,≤100,2
431022573924234,Brunet Deux-Montagnes,PHARMALEAD,≤100,1
106095490765706,Ryan Turnbull,"Ryan Turnbull, MP",≤100,1
200990963441531,Boredom Therapy,These ads ran without a disclaimer,≤100,1
173357482636,Comox  Valley Record Newsroom,a Black Press Media advertiser,≤100,1
198093243560691,Municipality of Clarington,Municipality of Clarington,≤100,1
111483491343851,DASAI EX,These ads ran without a disclaimer,≤100,1
1605226899703215,Ontario Association of Crime Stoppers,Ontario Association of Crime Stoppers,≤100,1
98938445882,City of Coquitlam - Municipality,City of Coquitlam,≤100,2
464365136916065,Unpublished.ca,Unpublished Media Inc.,≤100,1
453989538009903,Pregnancy Care Canada,Pregnancy Care Canada,≤100,2
135911506442669,North Van Arts,These ads ran without a disclaimer,≤100,1
100863511969679,Rechie Valdez,"Rechie Valdez, MP",≤100,1
39168823065,Sierra Club Canada Foundation,Sierra Club Canada Foundation,≤100,1
202225606579441,Zabiha Halal,These ads ran without a disclaimer,≤100,4
108160965869032,Pride PEI,Pride PEI,≤100,1
102136459052072,ICI Grand Nord,Radio-Canada,≤100,5
114286393699596,The Peak,The Peak Media Collective Inc.,≤100,7
101341720011488,ONFR+,These ads ran without a disclaimer,≤100,1
416169538729792,Mapping the Way,Mapping the Way,≤100,2
109110221458427,Nathalie Sinclair Desgagné,Députée de Terrebonne,≤100,1
432251040227428,Nathaniel Erskine-Smith,Nate Erskine-Smith Leadership Campaign,≤100,11
694493610951112,Politics Kamloops Thompson Cariboo,Politics Kamloops Thompson Cariboo,≤100,1
1480397205549576,Rachel Blaney North Island - Powell River MP,MP Rachel Blaney,≤100,1
108918301191,Dave Barber Cinematheque,Winnipeg Cinematheque,≤100,1
1500553866684504,Association québécoise pour le droit de mourir dans la dignité - AQDMD,Association québécoise pour le droit de mourir dans la dignité,≤100,1
106300547586272,Initiatives Vertes pour l'Avenir - IVA,Initiatives Vertes pour l'Avenir - IVA,≤100,1
204844912876739,Blake Richards,Banff-Airdrie Conservative EDA,≤100,1
460143874089814,Peter Schiefke,Peter Schiefke,≤100,1
112568821728397,Freedom Party of British Columbia,Freedom Party of British Columbia,≤100,1
111020124362147,Annapolis Waterkeepers,Annapolis Waterkeepers,≤100,1
100720952880122,"Susan Stevenson, Ward 4 Councillor","Susan Stevenson, Ward 4 Councillor",≤100,1
527737734005802,MOFIF Femmes Immigrantes Francophones Ontario,These ads ran without a disclaimer,≤100,1
103932155939376,Stop SaskTel Privatization,Unifor,≤100,1
205093963028353,Collision Conf,These ads ran without a disclaimer,≤100,1
