Page ID,Page name,Disclaimer,Amount spent (BRL),Number of ads in Library
165592640248411,Marcello Barbosa,Marcello Barbosa,≤100,7
102138423231691,Revista Semana Online,Revista Semana On,≤100,10
532277116860587,Éder Miano Prefeito,Eder Pereira,≤100,4
335971900395296,Gil Torres,Gil Torres,≤100,2
1732926253645641,Xexéu Tripoli,José Reginaldo Nazello de Alvarenga Tripoli,≤100,4
105909845048273,Coisas do Costa Filho,Dionezio Costa Magalhaes,≤100,8
103792372618962,Gazeta da Amazônia,Gazeta da Amazônia,≤100,23
104941785786172,Anjux Resultado Digital,Anjux Resultado Digital,≤100,2
1351285281650851,Zé Cocá,Zenildo Santana,≤100,2
111365133871481,A. Amorim Advogados Associados,Adriano Do Nascimento Amorim,≤100,10
518015004918179,Professor Júnior Geo,José Luiz Pereira Junior,≤100,4
337834286345988,Fundação Milton Campos,Fundação Milton Campos,≤100,4
387072514970604,Vereador Dr. Kachan Jr - Coisa Linda,Jose Antonio Kachan Junior,≤100,6
172154116311925,Sindserv Santos,Sindserv Santos - Sindicato dos Servidores Públicos Municipais de Santos,≤100,1
320741841325616,ZonaCurva,Fernando Do Valle Barbosa,≤100,4
596069503823478,Vereador Zé Márcio - Garotinho,Vereador Zé Márcio - Garotinho,≤100,3
726792094131244,Césinha,Cesar Brizolara,≤100,7
211673859588285,Mapa do Acolhimento,Nossas,≤100,6
1806569426246745,Grupo Boticário,BOTICARIO PROD DE BELEZA LTDA,≤100,1
1069481486459981,Antídio Lunelli,Antídio Aleixo Lunelli,≤100,4
115638388063911,ribeironeto.ma,Aires Do Espirito Santo Ribeiro Neto,≤100,2
436336693077946,Caio Cunha,Caio Cunha,≤100,4
100710735473325,IDP - SP,"Instituto Brasileiro de Ensino, Desenvolvimento e Pesquisa Idp - LTDA",≤100,31
100837538260625,Simone Flores,Simone Barros,≤100,2
147258388715323,Fundação Luterana de Diaconia (FLD),Fundação Luterana de Diaconia,≤100,4
104401494401878,Claudomiro Gomes,Claudomiro Gomes Da Silva,≤100,11
183417645028286,Ademi-BA,Ademi,≤100,2
1490922331155430,Unicursos Curitiba,UNICURSOS CAPACITAÇAO E TREINAMENTOS LTDA,≤100,6
1543526295946235,Major Palumbo,MARCOS DAS NEVES PALUMBO,≤100,1
350875841718469,Sindicato dos Metroviários,SindimetrôRS,≤100,2
108907578040742,Arnaldo Silva,Arnaldo Silva Junior,≤100,7
201044363357878,Aliel Machado,Aliel Machado,≤100,2
102116182790071,Aléferson Menez,Direito Do Titular,≤100,9
1711232385829914,Rodrigo Guedes,RODRIGO GUEDES OLIVEIRA DE ARAUJO,≤100,7
163852833738546,Vinicius Camarinha,Vinicius Camarinha,≤100,1
100475402294243,Consciência Brasil,Felipe Gabriel Coelho Gomes,≤100,4
555465644539300,Rosa Fernandes,ROSA MARIA ORLANDO FERNANDES,≤100,1
191056481289310,Mayr,Luiz Mayr Neto,≤100,1
386384768194437,Agenda em Foco,Agenda em Foco,≤100,9
109243215854131,Fábio Núñez Novo,Fabio Novo,≤100,2
101933305564897,Promic,Riole,≤100,2
282802611759257,MidiaJur - Jornalismo Plural,Midiajur,≤100,3
173016696226108,Anda Brasil Florestal,These ads ran without a disclaimer,≤100,4
169264993128249,Prefeitura de Fortaleza,Outcome Digital Strategy,≤100,1
861478333979600,DepBrazão,Manoel Inacio Brazao,≤100,3
191946971536216,Ismael Crispin,Deputado Estadual Ismael Crispin,≤100,7
326043511188824,Folha do Valle,Ednilson Wolkning,≤100,3
628494004005303,Prefeitura Municipal de Orlândia,Prefeitura Municipal de Orlândia,≤100,4
232264546798998,Portal do Marcos Santos,Portal Marcos Santos,≤100,5
306378149952222,Matheus Utsch Vereador PL,Matheus Utsch De Oliveira,≤100,5
1675735129377741,Tv Aldeia,TV aldeia,≤100,2
100270759072188,Gil Arantes,Gilberto Macedo Gil Arantes,≤100,1
631776890272498,Prof Jadson Caetano,Prof Jadson Caetano,≤100,5
106400324934183,Roncali da Farmácia,Roncali Coelho Soares,≤100,1
347742876973,ADPF - Associação Nacional dos Delegados de Polícia Federal,Associação Nacional dos Delegados de Polícia Federal,≤100,8
962615323779536,Progressistas,PROGRESSISTAS - BRASIL - BR - NACIONAL,≤100,2
461156467579675,Antero Paes de Barros,PNB Online,≤100,1
248844375207062,Jorge Wilson Xerife do Consumidor,Jorge Wilson - Xerife do Consumidor,≤100,4
584683181645128,MS TODO DIA,Jornal Ms Todo Dia Eireli,≤100,3
106535201965040,Burocracia Zero,Burocracia Zero,≤100,4
1181832495204696,Prefeitura da Campanha,Prefeitura Municipal da Campanha,≤100,4
112260971515571,ESG Academy,WAYCARBON SOLUCOES AMBIENTAIS E PROJETOS DE CARBONO S.A.,≤100,2
301683207203511,Jeferson Cardozo,Jeferson Cardozo,≤100,1
103768438180017,Lab Criação,Lab Criação,≤100,6
1313633058744565,Impulsiona,Instituto Península,≤100,5
149518311835447,Renata Bueno,Renata Bueno,≤100,6
1947356288874816,Saullo Vianna,Saullo Velame Vianna,≤100,3
102898391747361,Prefeitura Municipal de Lago Verde - Maranhão,Prefeitura Municipal de Lago Verde,≤100,3
687008454694990,Randolfe Rodrigues,Randolfh Frederich Rodrigues Alves,≤100,3
104553347942750,Eder Borges,Eder Fabiano Borges Adao,≤100,2
1962626790720530,Beto Dois a Um,Beto Dois a Um,≤100,1
114566450384026,Tiago Souza,Tiago Souza,≤100,3
143936459523104,Marcio Santos,Vereador Marcio Santos,≤100,3
1977144492578298,Bruno Secco,Bruno Secco Souza,≤100,1
813615022023685,Marcio Nunes,Marcio Fernando Nunes,≤100,1
667463076729677,UniGospel,UniGospel,≤100,2
109118887469889,Tarcisio Carvalho,Tarcisio Moreira De Carvalho,≤100,2
1598829670166145,Capitão Contar,Renan Barbosa Contar,≤100,6
163251324026642,Júlio Canelinha,These ads ran without a disclaimer,≤100,1
113197840331191,Comunikey - Agência de Marketing e Publicidade,Iveson Gabriel Basileu De Oliveira Lima,≤100,3
193453687358589,Arthur Virgílio,Arthur Virgilio Neto,≤100,11
242062609325601,Agenda 227,ANDI AGENCIA DE NOTICIAS DOS DIREITOS DA INFANCIA,≤100,1
1748022592106701,Vereador Marcio Bosa,Marcio Bosa,≤100,3
419379612242834,Geraldo Honorato,Geraldo Honorato Santos De Oliveira,≤100,2
239624862864871,Relatório Reservado,Hush Comunicação,≤100,3
106206361334270,Marketing Político de Conteúdo,Samuel Jacques,≤100,3
1433103303568739,Greyce Elias,Greyce De Queiroz Elias,≤100,3
207625445917337,Odelmo Leão,Odelmo Leão Carneiro Sobrinho,≤100,1
