Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
100560489493422,ಜನಪರ - ಜೀವಪರ,ಜನಪರ - ಜೀವಪರ,2278,8
243524299157863,Pushkar Singh Dhami,Pushkar Singh Dhami,2260,17
321228061382932,Pt. Shekhar Dixit,Websofy Software Private Limited,2229,14
652657388214939,BJP Nagaland,Bharatiya Janata Party (BJP),2225,6
708844685796745,OP Choudhary,OP Choudhary,2208,4
1207048289400325,Jagat Bahadur Singh Annu,Ranjeet Singh Bisen,2163,10
102447714973094,Yusuf Salahuddin,Yusuf Salahuddin,2145,1
2610079412396734,Amaresh Rai,Amaresh Kumar Rai,2133,5
587008988138630,Dinesh Desai,Pixatronix,2130,1
100469544979274,Nirav Shah,Nirav Shah,2108,2
104888181587151,CV Chandrashekar,CV Chandrashekar,2076,1
1395097470761321,Vanga Madhusudhan Reddy,Gogireddy Sai Vaibhav Reddy,2075,18
101031682657397,Koppula Mahesh Reddy,K Mahesh Reddy,2065,2
102099855874205,40% Sarkara - 40% ಸರ್ಕಾರ,40percentsarkara,2063,32
999917373375145,VD Sharma,VD Sharma,2057,4
548207961952860,Atul Save,Trimurti TechServ Pvt. Ltd.,2054,5
108122750692155,Dhanpal Suryanarayana,Dhanpal Surya Narayana,2051,1
221256415973730,Ankuram IVF,Ankuram IVF,2045,1
108531050841926,Shanu Yadav,Shanu Yadav,2040,1
105079445808554,Mahadev Balali,WMB,2035,2
132689140088396,smilefoundation,Smile Foundation,2031,5
189271178483352,Five Lotus Indo German,Five Lotus Indo German,2029,8
122131984855152,Dr. Debraj Shome,Dr. Debraj Shome,2027,2
105177130846994,Tech In Focus,These ads ran without a disclaimer,2025,2
545168122343271,S Muniraju,S Sendil Kumar,2014,7
108102345201383,Pappu Gappu - पप्पू गप्पू,PappuGappu.com,1986,12
104881231904370,Sanjeev Kumar Gupta,Sanjeev Kumar Gupta,1953,6
667862236707254,Rohit Kumar Singh,Arshad Ansari,1918,9
365136584238569,Shiv Deswal,Shiv Deswal,1913,2
104763115402991,श्री. गणेश बबनराव गिते । सौ. दिपालीताई गणेश गिते,श्री. गणेश बबनराव गिते । सौ. दिपालीताई गणेश गिते,1905,1
107468028636013,ವಿಶ್ವ ನಾಯಕ ನಮೋ,ವಿಶ್ವ ನಾಯಕ ನಮೋ,1890,11
100711749611083,Bharat Kaushik,Bharat Bhushan,1874,1
113073133805731,Desh Ki Baat Foundation,Krishna Kumar Yadav,1844,13
1571167366231304,Ramakant Bhargava,Saket Bhargava,1785,2
105815225595031,मोदी साथे राजस्थान,modisaatherajasthan.com,1780,11
101538858448134,The Summer News,The Summer News,1776,4
100403354715589,MLC Rajeev Kumar,MLC Rajeev Kumar,1768,1
115297811480691,Raghavendra Nagaruru MLC,sandeep events,1766,4
147568762110829,Bayer India,These ads ran without a disclaimer,1743,2
103164973087833,"Way2News - Short News App, News Summary",These ads ran without a disclaimer,1738,1
1770518973014321,Kuldeep Vats,Click2Public Technologies OPC Pvt. Ltd.,1732,7
110115671863420,Kacche Din,Kacche Din,1695,12
248431212597208,MP बोले फिर भाजपा,mp2023.com,1684,10
107533605102536,Panchanagouda Dyamanagoudar Official,Sangmesh Kallappa Modi,1651,11
100328978216424,"Fight Pollution, Not Plastics",Nitesh Singh,1650,9
787729798001092,IASbaba,These ads ran without a disclaimer,1646,2
100579492974806,गरीबों का मोदी,Abinash Moharana,1644,1
388740271500168,Yuvraj Vashistha,Dinesh Kumar Saran,1622,8
231732180327751,Bhupinder Singh Hooda,Abhishek Bhadaoriya,1605,6
351093161910068,Sri Hari Hara Kshetra Ayyappa Swamy Devastanam,Gogireddy Sai Vaibhav Reddy,1601,7
117276964607765,S B Ghatage,Sangmesh Kallappa Modi,1595,3
150727778825020,Mobius Foundation,Mobius Foundation,1585,16
109795201893113,Shankar Madalagi,Flywheels Embedded Research Private Limited,1565,1
111495072247199,Magic Bus,These ads ran without a disclaimer,1547,1
100195662912820,Pranam Commission,Pranam Commission,1537,1
146702709146110,Ashu Singh Surpura,Tinkershala,1528,2
108874798774990,Hanuman Ki Sena - हनुमान की सेना,Hanuman Ki Sena,1517,3
263560423714979,Dr. Mahesh Sharma,Subham Singh,1487,3
100217309545921,TamilNadu Leads India,TamilNadu Leads India,1487,1
106280825481824,Kundan Pandey,Deepak Vishwkarma,1484,7
347337386104390,Rama Chandra Yadav,B Ramachandra,1415,1
110157505314549,Bhumireddy Ramagopal Reddy,Bhumireddy Ramagopal Reddy,1396,3
110809634572462,Mathurbhai Savani,Mathurbhai Savani,1385,2
466642616726169,Parul University,Parul University,1380,6
116400054677478,Pappu Pulakesh,Pappu Pulakesh,1372,89
275323192533622,Mad over Marketing (M.O.M),These ads ran without a disclaimer,1354,1
271925582604,Citizens For Justice and Peace,Citizens for Justice and Peace,1350,8
1582832635365396,Umed Singh Dhull Sher Jaat,Ankit Tiwari,1350,6
104779413448,Teach For India,These ads ran without a disclaimer,1340,36
102123079337554,International Society for Krishna Consciousness,ISKCON Delhi,1338,2
468797023251148,Bhumireddy Rama Gopal Reddy,Sai Srinivas Reddy Bhumireddy,1331,4
1822357177777568,Bhaiyya Gandhe,Malhar Mahendra Gandhe,1327,2
1287678198049472,Child Help Foundation Outreach,Child Help Foundation Outreach,1305,8
106177778335243,Aditya Kumar Paswan,Aditya Kumar,1290,2
100341472149543,Naveen Goyal,Shamsher Singh,1280,28
103249462660090,TH Suresh Babu,Bharath Raj,1272,2
100921714878083,Fan Of Sambit Patra,BOL7 Technologies Private Limited,1263,4
