Page ID,Page name,Disclaimer,Amount spent (PLN),Number of ads in Library
158605907492356,FEPS,Fundacja na Rzecz Studiów Europejskich,≤100,1
107478768563531,Andrzej ŚLIWKA - Wiceminister Aktywów Państwowych,Andrzej Śliwka,≤100,2
105902229055590,Dariusz Mielniczek - kandydat na radnego Bystrzycy Kłodzkiej,Komitet Wyborczy Wyborców Dariusza Mielniczka,≤100,1
109269485083516,Krzysztof Szczucki,Krzysztof Szczucki,≤100,1
2152832788271473,Agnieszka Kurzawa - Radna Miasta Szczecin,Agnieszka Kurzawa,≤100,1
174361176251040,Łukasz Kadłubowski,Łukasz Paweł Kadłubowski,≤100,1
108137288741362,Gliwicka kartka z kalendarza,Gliwicka kartka z kalendarza,≤100,1
334031263082,Międzynarodowy Festiwal Sztuk Przyjemnych i Nieprzyjemnych,Teatr Powszechny w Łodzi,≤100,1
346282548780985,PrawoSportowe.pl,PrawoSportowe.pl,≤100,1
558879950822876,Jacek Sasin,Jacek Sasin - Poseł na Sejm RP,≤100,2
106476565436217,Rafał Rybnik,Rafał Rybnik,≤100,1
102556655851061,Michał Sopiński,Michał Sopiński,≤100,1
173043619501435,"Pomorski Ośrodek Rehabilitacji Dzikich Zwierząt ""Ostoja""","Pomorski Ośrodek Rehabilitacji Dzikich Zwierząt ""Ostoja""",≤100,1
101578909269613,Michał Gniatkowski,Michał Gniatkowski,≤100,4
106991535121828,Medilife. Centrum Rozwoju,Medilife. Health & Care,≤100,14
102370742369604,Kurier Powiatu Człuchowskiego,Michał Kowalski,≤100,2
100539463843764,Klaster Innowacji Społecznych,Klaster Innowacji Społecznych,≤100,1
109420387556852,Drewno - Pozytywna Energia,"Ogólnopolskie Stowarzyszenie ,,Kominki i Piece""",≤100,1
1771722023118604,Wydawnictwo Aktywa,Wydawnictwo Aktywa Sp. z o.o.,≤100,2
102992492312736,Kurier Powiatu Chojnickiego,Michał Kowalski,≤100,2
67202672014,Fairtrade Polska,Fundacja „Koalicja Sprawiedliwego Handlu” Fairtrade Polska,≤100,2
274387373763,Białostocki Ośrodek Kultury/Centrum im. Ludwika Zamenhofa,Białostocki Ośrodek Kultury,≤100,2
814991668621838,Norbert Kaczmarczyk,Norbert Kaczmarczyk,≤100,1
292544137448732,Muzeum Tradycji Niepodległościowych w Łodzi,Muzeum Tradycji Niepodległościowych w Łodzi,≤100,1
686446615064169,Artur Nycz Radny Sejmiku Zachodniopomorskiego,Artur Nycz,≤100,1
928782320661523,Rzetelna Gmina Krzeszowice,Stowarzyszenie Rzetelna Gmina Krzeszowice,≤100,1
1414703345491996,Zbigniew Konwiński,Zbigniew Konwiński,≤100,1
387124011444132,Wojciech Saługa Poseł na Sejm,Wojciech Saługa,≤100,1
101675159101680,Kurier Powiatu Kościerskiego,Michał Kowalski,≤100,2
311192342399368,Marcin Jarosz   Radny Dzielnicy Wrzeszcz Dolny,Marcin Jarosz,≤100,1
230600200634020,Grzegorz Ufniarz - Polityk i Samorządowiec z Polic,Grzegorz Ufniarz,≤100,1
674598359303516,Emilia Lodzińska- Radna Miasta Gdańska,Emilia Lodzińska,≤100,2
456995064489685,Mateusz Walasek,Mateusz Jan Walasek,≤100,1
707136803440073,Wojciech Paszkowski,Wojciech Paszkowski,≤100,1
277490649410552,Tomasz Nowacki - radny Miasta i Gminy Gąbin,Tomasz Nowacki,≤100,1
396085477167186,Patryk Fajdek,Patryk Fajdek,≤100,1
258621944269596,Przychodnia Na Wzgórzu,Marcin Piotr Dymkowski,≤100,1
283996612400,Fundacja Nasza Ziemia,Fundacja Nasza Ziemia,≤100,1
116306928531810,Zbigniew Szczerba Radny Miasta Zakopane,Zbigniew Piotr Szczerba,≤100,1
337568886798301,Robert Skowronek,Robert Artur Skowronek,≤100,1
182641961933584,Grzegorz Puda,Grzegorz Puda,≤100,2
110120891912810,Eter11,These ads ran without a disclaimer,≤100,2
103924599200460,Dla Bezkolizyjnego Przejazdu w Luzinie,Marcin Krzysztof Mutka,≤100,2
163837620300534,Stowarzyszenie Praktyków Dramy STOP-KLATKA,Stowarzyszenie Praktyków Dramy STOP-KLATKA,≤100,1
100460351810525,Browar Mentzen,Browar Mentzen,≤100,1
164331793767355,Gmina Dobra,Gmina Dobra,≤100,1
108243994205438,R&D Hub,R&D HUB Sp. z o. o.,≤100,1
