Page ID,Page name,Disclaimer,Amount spent (COP),Number of ads in Library
489327244878254,Carlos Parra,Carlos Parra,102949,3
332955063434426,Jaime Cuartas,These ads ran without a disclaimer,100897,3
118514924593739,Tanque Seco,Tanque seco,99553,3
1953017374955460,Nelson Barrera Roa,Nelson Barrera Roa,98555,3
267198759973201,Bairon Enrique Muñoz Lizarazo,Bairon Enrique Muñoz Lizarazo,96183,8
100240736764836,Alcaldía de Palmira,Alcaldía de Palmira,92566,29
299469560099835,Alcaldía de Cali,Alcaldía de Cali,92318,9
1913101528996718,Congreso Nacional de Marketing Político,Congreso Nacional de Marketing Político,91843,34
286568181368830,Jhon Ortega,Jhon Ortega,90582,4
357281968315956,Deimer Flórez,Deimer Flórez,84351,11
232899293744219,Fundación Avon Colombia,Fundación Avon Colombia,84106,3
553585915161201,Jhon Molina Putumayo,Jhon Molina Putumayo,81917,2
116801706827652,Mauricio Calderon,Mauricio Calderon,81053,16
345288946007447,Juan Diego Patiño Ochoa,Juan Diego Patiño Ochoa,80592,4
107204794960194,Instituto Técnico La Salle,Instituto Técnico La Salle,78844,14
145925579383362,Jose Amelio Esquivel,Jose Amelio Esquivel,74625,1
1649204585296525,Juan David Valderrama,Juan David Valderrama,74129,12
642780166056166,Daniel Galeano,Daniel Galeano,73771,1
110540005292025,Pasión Por Planadas,Pasión Por Planadas,73208,8
152548124810114,Alexander Florez,Alexander Florez,73035,1
116430736811606,Ever Villegas,Ever Villegas,72897,11
104969865721375,Profes.movimientociudadano,Profes.movimientociudadano,72882,10
1594162734205923,Diego Laserna,Diego Laserna,69011,3
1380368385625889,Julian Sánchez Perico Jr.,Julian Sánchez Perico Jr.,66623,52
130834367164,Red PaPaz,Red PaPaz,65750,2
105551485717051,Juan Altamar Santodomingo,Juan Altamar Santodomingo,64694,1
159326370815397,Alcaldía de Itagüí,Alcaldía de Itagüí,64674,6
201014753267112,Andrés Fernando Mesa Valencia,Andrés Fernando Mesa Valencia,64161,4
1622001728047397,Harman Alcalde,Harman Alcalde,62660,10
102108685107684,Jose Baquero,Jose Baquero,62648,1
108443621704547,Willian Aljure - Reconciliémonos,Willian Aljure - Reconciliémonos,61608,3
1643303432550207,Gustavo Vélez,Gustavo Vélez,59038,12
835710939898329,Paulina Aguinaga,Paulina Aguinaga,56882,3
2369166386675873,Mauricio Presente,Mauricio Rendón,56802,12
